1,A1,1,2
2,A2,1,2
3,A3,1,2
4,A4,1,2
5,A5,1,2
6,A6,1,2
7,A7,1,2
8,B1,1,2
9,B2,1,2
10,B3,1,2
11,B4,1,2
12,B5,1,2
13,B6,1,2
14,B7,1,2
15,C1,1,2
16,C2,1,2
17,C3,1,2
18,C4,1,2
19,C5,1,2
20,C6,1,2
21,C7,1,2
22,D1,1,2
23,D2,1,2
24,D3,1,2
25,D4,1,2
26,D5,1,2
27,D6,1,2
28,D7,1,2
29,E1,1,1
30,E2,1,1
31,E3,1,1
32,E4,1,1
33,E5,1,1
34,E6,1,1
35,E7,1,1
36,F1,1,1
37,F2,1,1
38,F3,1,1
39,F4,1,1
40,F5,1,1
41,F6,1,1
42,F7,1,1
43,G1,1,1
44,G2,1,1
45,G3,1,1
46,G4,1,1
47,G5,1,1
48,G6,1,1
49,G7,1,1
50,H1,1,1
51,H2,1,1
52,H3,1,1
53,H4,1,1
54,H5,1,1
55,H6,1,1
56,H7,1,1
57,I1,1,1
58,I2,1,1
59,I3,1,1
60,I4,1,1
61,I5,1,1
62,I6,1,1
63,I7,1,1
64,J1,1,1
65,J2,1,1
66,J3,1,1
67,J4,1,1
68,J5,1,1
69,J6,1,1
70,J7,1,1
71,K1,1,1
72,K2,1,1
73,K3,1,1
74,K4,1,1
75,K5,1,1
76,K6,1,1
77,K7,1,1
78,L1,1,1
79,L2,1,1
80,L3,1,1
81,L4,1,1
82,L5,1,1
83,L6,1,1
84,L7,1,1
85,M1,1,1
86,M2,1,1
87,M3,1,1
88,M4,1,1
89,M5,1,1
90,M6,1,1
91,M7,1,1
92,N1,1,1
93,N2,1,1
94,N3,1,1
95,N4,1,1
96,N5,1,1
97,N6,1,1
98,N7,1,1
99,O1,1,1
100,O2,1,1
101,O3,1,1
102,O4,1,1
103,O5,1,1
104,O6,1,1
105,O7,1,1
106,P1,1,1
107,P2,1,1
108,P3,1,1
109,P4,1,1
110,P5,1,1
111,P6,1,1
112,P7,1,1
113,A1,2,1
114,A2,2,1
115,A3,2,1
116,A4,2,1
117,A5,2,1
118,A6,2,1
119,A7,2,1
120,B1,2,1
121,B2,2,1
122,B3,2,1
123,B4,2,1
124,B5,2,1
125,B6,2,1
126,B7,2,1
127,C1,2,1
128,C2,2,1
129,C3,2,1
130,C4,2,1
131,C5,2,1
132,C6,2,1
133,C7,2,1
134,D1,2,1
135,D2,2,1
136,D3,2,1
137,D4,2,1
138,D5,2,1
139,D6,2,1
140,D7,2,1
141,E1,2,1
142,E2,2,1
143,E3,2,1
144,E4,2,1
145,E5,2,1
146,E6,2,1
147,E7,2,1
148,F1,2,1
149,F2,2,1
150,F3,2,1
