1,2019-12-12 12:00:00,2019-12-12 14:00:00,1,2,1,2
2,2019-12-13 14:00:00,2019-12-13 16:00:00,1,2,2,1
3,2019-12-14 09:45:00,2019-12-14 10:45:00,2,3,3,2
4,2019-12-15 12:00:00,2019-12-15 15:00:00,2,3,8,1
5,2019-12-16 20:00:00,2019-12-16 22:45:00,3,4,10,1
6,2019-12-17 16:30:00,2019-12-17 18:00:00,3,4,1,2
7,2019-12-18 03:00:00,2019-12-18 04:45:00,4,5,2,3
8,2019-12-19 12:00:00,2019-12-19 14:00:00,5,6,3,8
9,2019-12-20 03:00:00,2019-12-20 05:00:00,6,7,8,1
10,2019-12-21 03:00:00,2019-12-21 05:00:00,7,8,10,1
